Month,RegionName,lower,upper,predicted
2018-07-01,10520,522633.49823393405,560579.1274349253,541606.3128344297
2018-07-01,10804,716746.1959690938,761686.9765349599,739216.5862520268
2018-07-01,10528,1144471.0025453093,1261969.919252642,1203220.4608989756
2018-07-01,10803,880189.2665666832,945356.5453399437,912772.9059533135
2018-07-01,10570,624250.2041749574,665484.2631513198,644867.2336631386
2018-07-01,10707,612754.1485933007,645734.9380086695,629244.5433009851
2018-07-01,10522,712574.129785951,754179.4406776452,733376.7852317981
2018-07-01,10514,864758.1034556046,932477.6430714648,898617.8732635347
2018-07-01,10589,427884.4755464261,459339.2616737489,443611.8686100875
2018-07-01,10709,678041.8620130515,715826.2174589967,696934.0397360241
2018-07-01,10536,628594.432513984,667927.3193089535,648260.8759114688
2018-07-01,10604,643006.963043911,676757.020381281,659881.991712596
2018-07-01,10510,722166.8406295403,765836.9839455761,744001.9122875582
2018-07-01,10553,302113.94005722995,345093.2930352341,323603.616546232
2018-07-01,10706,760537.9817632707,816189.3532304133,788363.667496842
2018-07-01,10523,395325.8627078358,432674.41218622256,414000.1374470292
2018-07-01,10533,880376.1876324704,947372.9211898409,913874.5544111556
2018-07-01,10504,936830.230455423,1041788.768052018,989309.4992537205
2018-07-01,10547,353237.127673871,374496.3608387938,363866.7442563324
2018-07-01,10590,454226.5771677109,556465.8375633814,505346.20736554614
2018-07-01,10607,501288.18580151524,529517.8183445592,515403.0020730372
2018-07-01,10595,561904.0185981905,593347.4650425825,577625.7418203865
2018-07-01,10506,833978.4575273287,913964.5363741613,873971.496950745
2018-07-01,10507,500598.37345012126,555955.8414699408,528277.107460031
2018-07-01,10502,640896.668031092,685988.6577807209,663442.6629059064
2018-07-01,10576,778522.5153918037,837965.2876291097,808243.9015104567
2018-07-01,10532,464357.9253616262,508749.3187437842,486553.6220527052
2018-07-01,10560,476856.1184992542,542745.9223381968,509801.0204187255
2018-07-01,10594,605857.7735312192,636621.155372812,621239.4644520156
2018-07-01,10588,379884.6647288045,411537.25768860057,395710.96120870253
2018-07-01,10537,232871.602277915,253667.68708111235,243269.64467951367
2018-07-01,10577,988447.8488795271,1134578.789686965,1061513.319283246
2018-07-01,10526,413446.17057563254,485735.5110696175,449590.84082262503
2018-07-01,10546,592170.5276673513,645968.510774758,619069.5192210546
2018-07-01,10518,522291.72508016456,607022.5285353774,564657.1268077709
2018-07-01,10501,570328.1983941136,623067.117733575,596697.6580638443
2018-08-01,10701,446101.20519647206,483118.57136675,464609.888281611
2018-08-01,10583,1025482.2244954417,1100807.7924380964,1063145.008466769
2018-08-01,10801,504209.5436594579,536980.6746668601,520595.109163159
2018-08-01,10705,464325.63121447375,507889.23860380636,486107.43490914005
2018-08-01,10550,269606.31616239296,337067.4455257916,303336.8808440923
2018-08-01,10573,616368.7235469462,656261.1191754935,636314.9213612198
2018-08-01,10704,447598.18707166775,482703.3092895155,465150.7481805916
2018-08-01,10562,408938.1253579548,436694.0843692136,422816.1048635842
2018-08-01,10710,492535.97419418563,525158.483679192,508847.2289366888
2018-08-01,10598,435431.3262558651,465590.9218127123,450511.1240342887
2018-08-01,10708,931346.8933921951,1042474.0774915571,986910.4854418761
2018-08-01,10566,280405.3673589606,316342.756272832,298374.0618158963
2018-08-01,10591,594002.2256347832,640211.5848981777,617106.9052664804
2018-08-01,10552,517237.60606149456,581229.3696167952,549233.4878391449
2018-08-01,10543,747180.8706748646,817523.6813677547,782352.2760213097
2018-08-01,10605,752697.0828433688,804591.3550401294,778644.2189417491
2018-08-01,10703,412974.0502651497,446101.51787585055,429537.7840705001
2018-08-01,10805,575706.199974306,661958.3562624281,618832.2781183671
2018-08-01,10603,479084.54887364473,527177.0398924861,503130.7943830654
2018-08-01,10538,1199861.846162856,1300893.2663557609,1250377.5562593085
2018-08-01,10567,377843.1088650113,413466.5812187137,395654.8450418625
2018-08-01,10580,1632712.5146793814,1784911.764143437,1708812.1394114092
2018-08-01,10549,702448.7355648652,777658.6952122133,740053.7153885392
2018-08-01,10530,596033.3488809839,639650.3765329248,617841.8627069544
2018-08-01,10606,603164.221490496,639033.0510100963,621098.6362502961
2018-08-01,10520,515553.8102688811,564778.9648368565,540166.3875528688
2018-08-01,10804,712516.865954163,771604.7227867744,742060.7943704687
2018-08-01,10528,1131521.944451429,1287839.4334488176,1209680.6889501233
2018-08-01,10803,884052.2700932039,970108.0466510492,927080.1583721265
